BX = 000 Event : 1
0x00 0000000|0000001 0x0001
0x01 0000000|0111010 0x003A
0x02 0000001|0000001 0x0081
0x03 0000001|0111010 0x00BA
0x04 0000001|0111011 0x00BB
0x05 0000001|0111100 0x00BC
0x06 0000010|0000001 0x0101
0x07 0000010|0000110 0x0106
0x08 0000010|0111010 0x013A
0x09 0000010|0111011 0x013B
0x0a 0000010|0111100 0x013C
0x0b 0001101|0011000 0x0698
0x0c 0001110|0100000 0x0720
0x0d 0110011|0000001 0x1981
0x0e 0110011|0000110 0x1986
0x0f 0110011|0111010 0x19BA
0x10 0110011|0111011 0x19BB
0x11 0110011|0111100 0x19BC
0x12 0110100|0000001 0x1A01
0x13 0110100|0000110 0x1A06
0x14 0110100|0111010 0x1A3A
0x15 0110100|0111011 0x1A3B
0x16 0110100|0111100 0x1A3C
0x17 0110110|0000110 0x1B06
0x18 1000010|0101001 0x2129
0x19 1000011|0101001 0x21A9
BX = 001 Event : 2
0x00 0001110|0011010 0x071A
0x01 0001110|0011011 0x071B
0x02 0111100|0111011 0x1E3B
BX = 010 Event : 3
0x00 0100011|0100010 0x11A2
0x01 0100100|0100110 0x1226
0x02 0100110|0100110 0x1326
0x03 0100110|0100111 0x1327
BX = 011 Event : 4
0x00 0001010|0011110 0x051E
0x01 0001010|0100011 0x0523
0x02 0010111|0101101 0x0BAD
0x03 0110110|1010101 0x1B55
0x04 0110110|1011100 0x1B5C
BX = 100 Event : 5
0x00 0000101|0011010 0x029A
0x01 0100101|0111001 0x12B9
0x02 0101000|0111001 0x1439
0x03 0101100|0100001 0x1621
BX = 101 Event : 6
0x00 0100010|0000010 0x1102
0x01 0100010|0110001 0x1131
0x02 0100010|0110010 0x1132
BX = 110 Event : 7
0x00 0001100|0010111 0x0617
0x01 0101000|0000001 0x1401
0x02 0101111|0101000 0x17A8
0x03 0110010|0110001 0x1931
BX = 111 Event : 8
0x00 0000010|0000100 0x0104
0x01 0000010|0000101 0x0105
0x02 0000010|0111011 0x013B
0x03 0000011|0111011 0x01BB
0x04 0000100|0111011 0x023B
0x05 0100111|0111011 0x13BB
0x06 0110000|0101111 0x182F
BX = 000 Event : 9
0x00 0001011|1001000 0x05C8
0x01 1001000|0111011 0x243B
0x02 1001001|0111011 0x24BB
0x03 1001010|0111011 0x253B
0x04 1001011|0111011 0x25BB
0x05 1010000|1000101 0x2845
0x06 1010001|1000101 0x28C5
0x07 1010010|1000101 0x2945
0x08 1010100|1000101 0x2A45
0x09 1011011|1000101 0x2DC5
0x0a 1011100|0001000 0x2E08
0x0b 1011100|1001000 0x2E48
0x0c 1011100|1001011 0x2E4B
0x0d 1011101|0001000 0x2E88
0x0e 1011101|1001000 0x2EC8
0x0f 1100111|0111011 0x33BB
BX = 001 Event : 10
0x00 0100001|0010001 0x1091
0x01 0100001|0010011 0x1093
0x02 0100001|0010100 0x1094
0x03 0100100|0100001 0x1221
0x04 0100100|0100100 0x1224
BX = 010 Event : 11
0x00 0001001|0100000 0x04A0
0x01 0011100|0110110 0x0E36
0x02 0011100|0111000 0x0E38
0x03 0011110|0001011 0x0F0B
0x04 0011110|0110110 0x0F36
0x05 0011110|0110111 0x0F37
0x06 0011110|0111000 0x0F38
0x07 0011110|0001100 0x0F0C
BX = 011 Event : 12
0x00 0001110|0010010 0x0712
0x01 0001110|0010011 0x0713
0x02 0011101|0010010 0x0E92
0x03 0011101|0010011 0x0E93
0x04 0101110|0101011 0x172B
0x05 0101110|0101101 0x172D
0x06 0101110|0110001 0x1731
0x07 0101110|0110010 0x1732
0x08 0111011|0111110 0x1DBE
0x09 0111011|0000010 0x1D82
0x0a 0111011|1000010 0x1DC2
0x0b 0111011|1000100 0x1DC4
0x0c 0111100|0000010 0x1E02
0x0d 0111100|1000010 0x1E42
0x0e 0111101|0000000 0x1E80
0x0f 0111101|0000001 0x1E81
0x10 0111101|0000010 0x1E82
0x11 0111101|1000011 0x1EC3
0x12 0111101|1000100 0x1EC4
0x13 0111101|1001111 0x1ECF
0x14 0111110|0000000 0x1F00
0x15 0111110|0000001 0x1F01
0x16 0111110|0000010 0x1F02
0x17 0111110|1000011 0x1F43
0x18 0111110|1000100 0x1F44
0x19 0111110|1001111 0x1F4F
0x1a 0111111|0010010 0x1F92
0x1b 0111111|0010011 0x1F93
0x1c 1000011|0101011 0x21AB
0x1d 1000011|0101101 0x21AD
0x1e 1000100|0101011 0x222B
0x1f 1000100|0101101 0x222D
0x20 1000100|0110001 0x2231
0x21 1000101|0110101 0x22B5
0x22 1000111|0111110 0x23BE
0x23 1001000|0111110 0x243E
0x24 1001000|1000010 0x2442
0x25 1001001|0111110 0x24BE
0x26 1001001|0000000 0x2480
0x27 1001001|1000010 0x24C2
0x28 1001001|1000011 0x24C3
0x29 1001001|1000100 0x24C4
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0001110|0011010 0x071A
0x01 0001111|0011010 0x079A
0x02 0011010|0011010 0x0D1A
0x03 0011011|0011010 0x0D9A
BX = 110 Event : 15
0x00 0000010|1000010 0x0142
0x01 0000010|1001000 0x0148
BX = 111 Event : 16
0x00 0000111|0010111 0x0397
