BX = 000 Event : 1
0x00 0000001|0000100 0x0084
0x01 0000010|0000011 0x0103
0x02 0000010|0000100 0x0104
0x03 0001101|0010111 0x0697
0x04 0110011|0000011 0x1983
0x05 0110011|0000100 0x1984
0x06 0110100|0000011 0x1A03
0x07 0110100|0000100 0x1A04
0x08 1000100|0101100 0x222C
0x09 1000101|0110001 0x22B1
BX = 001 Event : 2
0x00 0001111|0011100 0x079C
0x01 0001111|0011101 0x079D
0x02 1000011|0101011 0x21AB
0x03 1000011|0101100 0x21AC
0x04 1000011|0101101 0x21AD
0x05 1000011|0101110 0x21AE
0x06 1000100|0101011 0x222B
0x07 1000100|0101100 0x222C
0x08 1000100|0101101 0x222D
0x09 1000100|0101110 0x222E
0x0a 1000101|0101100 0x22AC
0x0b 1001001|0000000 0x2480
BX = 010 Event : 3
BX = 011 Event : 4
0x00 0001010|0100000 0x0520
0x01 0110110|0000011 0x1B03
BX = 100 Event : 5
0x00 0100101|0001010 0x128A
0x01 0101000|0001010 0x140A
0x02 0101001|0001010 0x148A
BX = 101 Event : 6
BX = 110 Event : 7
0x00 0000100|0000010 0x0202
0x01 0000100|0000101 0x0205
0x02 0000101|0000010 0x0282
0x03 0001010|0011000 0x0518
0x04 0101000|0000010 0x1402
0x05 0101010|0000010 0x1502
BX = 111 Event : 8
0x00 0000010|0001001 0x0109
0x01 0000010|0001010 0x010A
0x02 0000010|0001011 0x010B
0x03 0000010|0001101 0x010D
0x04 0000011|0001101 0x018D
0x05 0100111|0001001 0x1389
0x06 0100111|0001010 0x138A
0x07 0100111|0001011 0x138B
0x08 0101000|0001101 0x140D
BX = 000 Event : 9
0x00 0001011|0000100 0x0584
0x01 0001011|0000101 0x0585
0x02 0001101|0000100 0x0684
0x03 0001101|0000101 0x0685
0x04 0001111|0001101 0x078D
0x05 1010000|0000100 0x2804
0x06 1010000|0000101 0x2805
0x07 1010001|0000100 0x2884
0x08 1010001|0000101 0x2885
0x09 1010010|0000100 0x2904
0x0a 1010010|0000101 0x2905
0x0b 1010100|0000010 0x2A02
0x0c 1010100|0000100 0x2A04
0x0d 1010100|0000101 0x2A05
0x0e 1011011|0000100 0x2D84
0x0f 1011011|0000101 0x2D85
0x10 1011101|0000100 0x2E84
0x11 1011101|0000101 0x2E85
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0011100|0000101 0x0E05
BX = 011 Event : 12
0x00 0010010|0011001 0x0919
0x01 0010010|0011010 0x091A
0x02 0101011|0101001 0x15A9
0x03 0101110|0101001 0x1729
0x04 0101110|0101110 0x172E
0x05 0111101|0000111 0x1E87
0x06 0111110|0000111 0x1F07
0x07 0111110|0001100 0x1F0C
0x08 1000010|0100110 0x2126
0x09 1000010|0101001 0x2129
0x0a 1000011|0101110 0x21AE
0x0b 1000100|0101110 0x222E
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0101110|0100110 0x1726
0x01 0110110|0100110 0x1B26
0x02 0110111|0100110 0x1BA6
0x03 0111000|0100110 0x1C26
0x04 0111000|0000001 0x1C01
0x05 0111001|0100110 0x1CA6
0x06 0111100|0100110 0x1E26
0x07 0111100|0000001 0x1E01
0x08 0111100|0000010 0x1E02
BX = 110 Event : 15
0x00 0011100|0011100 0x0E1C
BX = 111 Event : 16
0x00 0011011|0100001 0x0DA1
0x01 0110001|0000110 0x1886
0x02 0110011|0000110 0x1986
BX = 000 Event : 17
0x00 0100100|0100111 0x1227
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0000111|0010000 0x0390
0x01 0010000|0010111 0x0817
0x02 0100100|0000011 0x1203
0x03 0101011|0101101 0x15AD
0x04 0101011|0110000 0x15B0
BX = 011 Event : 20
0x00 0000000|0000000 0x0000
0x01 0000000|0000001 0x0001
0x02 0101101|0000000 0x1680
0x03 0101101|0000001 0x1681
0x04 0101110|0000000 0x1700
0x05 0101110|0000001 0x1701
0x06 0101111|0000000 0x1780
0x07 0101111|0000001 0x1781
0x08 0110100|0001100 0x1A0C
0x09 0110100|0001111 0x1A0F
0x0a 0110110|0001100 0x1B0C
0x0b 0110110|0001111 0x1B0F
0x0c 0111001|0001111 0x1C8F
0x0d 1000110|0000000 0x2300
0x0e 1000110|0000001 0x2301
BX = 100 Event : 21
0x00 0111000|0101111 0x1C2F
0x01 0111000|0110011 0x1C33
BX = 101 Event : 22
0x00 0011000|0000110 0x0C06
0x01 0011000|0001011 0x0C0B
0x02 0011011|0001011 0x0D8B
0x03 0011011|0001100 0x0D8C
BX = 110 Event : 23
0x00 0001010|0100000 0x0520
0x01 0001011|0100000 0x05A0
0x02 0001011|0100011 0x05A3
0x03 0100101|0001100 0x128C
0x04 0100110|0001100 0x130C
BX = 111 Event : 24
0x00 0000101|0010000 0x0290
0x01 0000101|0010010 0x0292
0x02 0000110|0010011 0x0313
0x03 0110110|0001000 0x1B08
0x04 0110111|0001000 0x1B88
BX = 000 Event : 25
0x00 0000111|0010011 0x0393
0x01 0001100|0011010 0x061A
0x02 1000101|0110011 0x22B3
BX = 001 Event : 26
0x00 0001010|0010111 0x0517
0x01 0100011|0000011 0x1183
0x02 0100011|0000101 0x1185
0x03 0100100|0000011 0x1203
0x04 0100100|0000101 0x1205
BX = 010 Event : 27
0x00 0001011|0010001 0x0591
0x01 0001011|0010010 0x0592
0x02 0101011|0000110 0x1586
BX = 011 Event : 28
0x00 0110011|0101000 0x19A8
0x01 0110011|0101001 0x19A9
0x02 1000001|0101000 0x20A8
0x03 1000001|0101001 0x20A9
BX = 100 Event : 29
0x00 0000011|0000100 0x0184
0x01 0100100|0000100 0x1204
0x02 0100110|0000100 0x1304
BX = 101 Event : 30
0x00 0000001|0000010 0x0082
0x01 0000011|0000010 0x0182
0x02 0000100|0000010 0x0202
0x03 0010111|0011011 0x0B9B
0x04 0100001|0000010 0x1082
BX = 110 Event : 31
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0011011|0000100 0x0D84
0x01 0011101|0000100 0x0E84
0x02 0011110|0000100 0x0F04
0x03 0100010|0011101 0x111D
0x04 0100010|0100000 0x1120
BX = 001 Event : 34
BX = 010 Event : 35
0x00 0111101|1000110 0x1EC6
BX = 011 Event : 36
0x00 0101001|0000111 0x1487
0x01 0101001|0001011 0x148B
0x02 0101011|0001011 0x158B
0x03 0110001|0101110 0x18AE
BX = 100 Event : 37
0x00 0000010|0000100 0x0104
0x01 0000010|0000101 0x0105
0x02 0000010|0001000 0x0108
0x03 0000010|0001001 0x0109
0x04 0000010|0001010 0x010A
0x05 0000010|0001101 0x010D
0x06 0000011|0001101 0x018D
0x07 0100110|0001000 0x1308
0x08 0100110|0001001 0x1309
0x09 0100110|0001010 0x130A
0x0a 0100110|0001100 0x130C
0x0b 0100111|0001101 0x138D
BX = 101 Event : 38
0x00 0101011|0000010 0x1582
0x01 0101100|0000010 0x1602
0x02 0110000|0100101 0x1825
0x03 0110001|0100100 0x18A4
0x04 0110001|0100101 0x18A5
BX = 110 Event : 39
0x00 0000101|0000101 0x0285
0x01 0000101|0001001 0x0289
0x02 0000101|0001010 0x028A
0x03 0101110|0000101 0x1705
0x04 0101110|0001000 0x1708
0x05 0101110|0001001 0x1709
0x06 0101110|0001010 0x170A
BX = 111 Event : 40
0x00 0100110|0100101 0x1325
0x01 0100110|0000011 0x1303
0x02 0100110|0000100 0x1304
BX = 000 Event : 41
0x00 0000101|0000011 0x0283
0x01 0001011|0010111 0x0597
0x02 0001011|0011000 0x0598
0x03 0001100|0011000 0x0618
0x04 0001100|0011001 0x0619
0x05 0010111|0010111 0x0B97
0x06 0101110|0100110 0x1726
0x07 0110100|0000011 0x1A03
BX = 001 Event : 42
BX = 010 Event : 43
0x00 0000100|0000011 0x0203
0x01 0010001|0100101 0x08A5
0x02 0010010|0100101 0x0925
0x03 0010010|0100111 0x0927
0x04 0010011|0100101 0x09A5
0x05 0010011|0100111 0x09A7
0x06 0110000|0000001 0x1801
0x07 0110100|0000001 0x1A01
0x08 0110110|0000011 0x1B03
0x09 0110111|0000011 0x1B83
0x0a 0111000|0000011 0x1C03
0x0b 1000111|0000001 0x2381
BX = 011 Event : 44
0x00 0000110|0001010 0x030A
0x01 0001010|0001010 0x050A
0x02 0001011|0001010 0x058A
0x03 0110100|0001010 0x1A0A
0x04 0110111|0101101 0x1BAD
0x05 0111000|0101101 0x1C2D
BX = 100 Event : 45
0x00 0000110|0000010 0x0302
0x01 0000110|0000011 0x0303
0x02 0000110|0000100 0x0304
0x03 0000110|0000101 0x0305
0x04 0000110|0000111 0x0307
0x05 0010001|0010111 0x0897
0x06 0010001|0011111 0x089F
0x07 0010010|0010111 0x0917
0x08 0010010|0011111 0x091F
