BX = 000 Event : 1
0x00 0111110|0001011 0x1F0B
BX = 001 Event : 2
0x00 0011000|0010111 0x0C17
BX = 010 Event : 3
0x00 0000110|0010000 0x0310
0x01 0000110|0010110 0x0316
0x02 0000110|0010111 0x0317
0x03 0010011|0100011 0x09A3
BX = 011 Event : 4
0x00 0000101|0000110 0x0286
0x01 0000101|0000111 0x0287
0x02 0000110|0000110 0x0306
0x03 0000110|0000111 0x0307
0x04 0001001|0011011 0x049B
0x05 0011011|0110001 0x0DB1
0x06 0011110|0110001 0x0F31
0x07 0101010|0111011 0x153B
0x08 0101010|0111111 0x153F
0x09 0101111|0111111 0x17BF
0x0a 0101111|1000010 0x17C2
0x0b 0110011|0000000 0x1980
0x0c 0110011|0000110 0x1986
0x0d 0110011|0000111 0x1987
0x0e 0110100|0000000 0x1A00
0x0f 0110100|0000110 0x1A06
0x10 0110100|0000111 0x1A07
0x11 0110111|0000000 0x1B80
0x12 0110111|0000110 0x1B86
0x13 0110111|0000111 0x1B87
0x14 0111011|0111011 0x1DBB
BX = 100 Event : 5
0x00 0000000|0000011 0x0003
BX = 101 Event : 6
0x00 0000100|0010010 0x0212
0x01 0001101|0010010 0x0692
BX = 110 Event : 7
0x00 0000011|0000011 0x0183
0x01 0101001|0000011 0x1483
BX = 111 Event : 8
0x00 0001001|0011001 0x0499
0x01 0001001|0011010 0x049A
0x02 0001001|0011011 0x049B
0x03 0011000|0011001 0x0C19
0x04 0011000|0011011 0x0C1B
BX = 000 Event : 9
0x00 0001110|0001011 0x070B
0x01 0011010|0001011 0x0D0B
0x02 0011011|0001011 0x0D8B
0x03 0111011|0101101 0x1DAD
0x04 1100001|0101001 0x30A9
0x05 1100010|0101001 0x3129
BX = 001 Event : 10
0x00 0011100|0000011 0x0E03
0x01 0011101|0000011 0x0E83
BX = 010 Event : 11
0x00 0010110|0100110 0x0B26
BX = 011 Event : 12
0x00 0000000|1000000 0x0040
0x01 0001101|0010101 0x0695
0x02 0010000|0010101 0x0815
0x03 0010001|0010101 0x0895
0x04 0110011|0111011 0x19BB
0x05 0110011|0111100 0x19BC
BX = 100 Event : 13
0x00 0000101|0000011 0x0283
0x01 0000101|0000101 0x0285
0x02 0001010|0000111 0x0507
0x03 0100111|0000111 0x1387
BX = 101 Event : 14
0x00 0000000|0000011 0x0003
BX = 110 Event : 15
BX = 111 Event : 16
0x00 0001100|0001101 0x060D
0x01 0001111|0001101 0x078D
0x02 0010000|0001101 0x080D
0x03 0010001|0001101 0x088D
BX = 000 Event : 17
0x00 0100101|0100100 0x12A4
BX = 001 Event : 18
0x00 0100011|0011100 0x119C
