BX = 000 Event : 1
0x00 0011000|0100111 0x0C27
BX = 001 Event : 2
0x00 0000010|0000000 0x0100
0x01 0010000|0010111 0x0817
0x02 0010001|0010111 0x0897
BX = 010 Event : 3
BX = 011 Event : 4
0x00 0000110|0000111 0x0307
0x01 0000110|0001010 0x030A
0x02 0000110|0001011 0x030B
0x03 0001000|0001010 0x040A
0x04 0001000|0001011 0x040B
0x05 0001001|0001010 0x048A
0x06 0001001|0001011 0x048B
0x07 0001010|0001010 0x050A
0x08 0001010|0001011 0x050B
0x09 0001011|0001010 0x058A
0x0a 0010100|0011001 0x0A19
0x0b 0010100|0011011 0x0A1B
0x0c 0010100|0011100 0x0A1C
0x0d 0110011|1000110 0x19C6
0x0e 0110101|1000110 0x1AC6
BX = 100 Event : 5
0x00 0000011|0000100 0x0184
0x01 0000101|0001011 0x028B
0x02 0001011|0001011 0x058B
0x03 0011010|0010101 0x0D15
BX = 101 Event : 6
0x00 0001101|0001111 0x068F
0x01 0010011|0010111 0x0997
0x02 0011010|0011010 0x0D1A
0x03 0011011|0011010 0x0D9A
0x04 0011011|0011111 0x0D9F
0x05 0011101|0011111 0x0E9F
0x06 0011110|0011111 0x0F1F
0x07 0011111|0011111 0x0F9F
BX = 110 Event : 7
0x00 0000010|0000010 0x0102
0x01 0001001|0001100 0x048C
0x02 0001011|0001100 0x058C
0x03 0001111|0011010 0x079A
0x04 0010000|0011100 0x081C
0x05 0010010|0011100 0x091C
0x06 0011010|0011101 0x0D1D
BX = 111 Event : 8
0x00 0000011|0000110 0x0186
BX = 000 Event : 9
0x00 0001010|0000001 0x0501
0x01 0001110|0000111 0x0707
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0000001|0000101 0x0085
0x01 0000001|0001000 0x0088
0x02 0000010|0000101 0x0105
0x03 0000010|0001000 0x0108
BX = 011 Event : 12
0x00 0001101|0001101 0x068D
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0101001|0111011 0x14BB
0x01 0101100|0111011 0x163B
0x02 0101110|0111011 0x173B
0x03 0110000|0111011 0x183B
BX = 110 Event : 15
0x00 0000001|0000001 0x0081
0x01 0000011|0000001 0x0181
0x02 0001111|0011101 0x079D
0x03 0011100|0101010 0x0E2A
0x04 0011100|0101011 0x0E2B
BX = 111 Event : 16
0x00 0100101|0101001 0x12A9
0x01 0101011|0101001 0x15A9
BX = 000 Event : 17
BX = 001 Event : 18
0x00 0000110|0001000 0x0308
0x01 0000111|0001000 0x0388
0x02 0001001|0001000 0x0488
BX = 010 Event : 19
0x00 0001001|0001001 0x0489
BX = 011 Event : 20
0x00 0000000|0000011 0x0003
0x01 0000110|0000011 0x0303
0x02 0000110|0000100 0x0304
0x03 0000110|0000101 0x0305
0x04 0010101|0001111 0x0A8F
BX = 100 Event : 21
0x00 0011101|0100100 0x0EA4
BX = 101 Event : 22
BX = 110 Event : 23
0x00 0011010|0010001 0x0D11
0x01 0011011|0010001 0x0D91
0x02 0011100|0010001 0x0E11
0x03 0111000|0101111 0x1C2F
BX = 111 Event : 24
0x00 0011110|0100001 0x0F21
BX = 000 Event : 25
0x00 0010000|0001000 0x0808
0x01 0110101|0101000 0x1AA8
0x02 0110101|0101010 0x1AAA
0x03 0110101|0101100 0x1AAC
0x04 0110110|0101010 0x1B2A
0x05 0110110|0101100 0x1B2C
0x06 0110111|0101000 0x1BA8
0x07 0110111|0101010 0x1BAA
0x08 0110111|0101100 0x1BAC
BX = 001 Event : 26
0x00 0000111|0000101 0x0385
0x01 0001000|0000101 0x0405
0x02 0001110|0011010 0x071A
0x03 0001111|0011010 0x079A
0x04 0010001|0011010 0x089A
0x05 0010001|0011111 0x089F
BX = 010 Event : 27
BX = 011 Event : 28
0x00 0101011|0100100 0x15A4
0x01 0101111|0101101 0x17AD
BX = 100 Event : 29
0x00 0100011|0100011 0x11A3
0x01 0101001|0101010 0x14AA
BX = 101 Event : 30
BX = 110 Event : 31
0x00 0100101|0010100 0x1294
BX = 111 Event : 32
0x00 0001011|0000110 0x0586
0x01 0001111|0001001 0x0789
0x02 0011000|0010110 0x0C16
BX = 000 Event : 33
0x00 0011001|0011010 0x0C9A
0x01 0101100|0101110 0x162E
BX = 001 Event : 34
0x00 0001011|0000011 0x0583
0x01 0100000|0011101 0x101D
0x02 0100000|0100001 0x1021
0x03 0100001|0011101 0x109D
0x04 0100001|0100001 0x10A1
0x05 0100110|0100111 0x1327
BX = 010 Event : 35
0x00 0010001|0010000 0x0890
0x01 0010011|0010100 0x0994
BX = 011 Event : 36
0x00 0001001|0000101 0x0485
BX = 100 Event : 37
0x00 0000101|0000100 0x0284
0x01 0000101|0000111 0x0287
0x02 0000111|0001100 0x038C
BX = 101 Event : 38
0x00 0010101|0001110 0x0A8E
BX = 110 Event : 39
BX = 111 Event : 40
0x00 0000010|0000000 0x0100
0x01 0000010|0000001 0x0101
0x02 0000010|0000010 0x0102
0x03 0000010|0000011 0x0103
0x04 0101010|0100000 0x1520
0x05 0101010|0100001 0x1521
BX = 000 Event : 41
0x00 0000010|0000110 0x0106
0x01 0000011|0000110 0x0186
0x02 0000100|0000110 0x0206
0x03 0000101|0000110 0x0286
0x04 0000110|0000110 0x0306
BX = 001 Event : 42
0x00 0000011|0000100 0x0184
0x01 0001000|0000111 0x0407
BX = 010 Event : 43
BX = 011 Event : 44
0x00 0000001|0000011 0x0083
0x01 0010001|0010010 0x0892
BX = 100 Event : 45
0x00 0000101|0000010 0x0282
0x01 0100101|0000000 0x1280
BX = 101 Event : 46
0x00 0010100|0100000 0x0A20
0x01 0010111|0100000 0x0BA0
BX = 110 Event : 47
0x00 0100110|0110001 0x1331
0x01 0100111|0110001 0x13B1
BX = 111 Event : 48
0x00 0000011|0001000 0x0188
0x01 0000011|0001010 0x018A
0x02 0000011|0001011 0x018B
BX = 000 Event : 49
0x00 0000001|0000000 0x0080
0x01 0000101|0000110 0x0286
0x02 0011100|0011101 0x0E1D
BX = 001 Event : 50
BX = 010 Event : 51
BX = 011 Event : 52
BX = 100 Event : 53
BX = 101 Event : 54
0x00 0000001|0000000 0x0080
0x01 0000001|0000001 0x0081
0x02 0000010|0000010 0x0102
BX = 110 Event : 55
0x00 0000010|0000001 0x0101
0x01 0000011|0000001 0x0181
0x02 0000011|0000010 0x0182
BX = 111 Event : 56
0x00 0001001|0001001 0x0489
0x01 0001001|0001100 0x048C
BX = 000 Event : 57
0x00 0000011|0000011 0x0183
0x01 0101011|0000011 0x1583
BX = 001 Event : 58
0x00 0010000|0000010 0x0802
0x01 0010000|0000100 0x0804
0x02 0010000|0000101 0x0805
0x03 0010101|0010011 0x0A93
BX = 010 Event : 59
0x00 0001011|0000101 0x0585
0x01 0001011|0000110 0x0586
0x02 0001100|0001001 0x0609
0x03 0010011|0010011 0x0993
0x04 0010100|0010011 0x0A13
0x05 0010110|0010011 0x0B13
BX = 011 Event : 60
0x00 0000000|0000001 0x0001
0x01 0000000|0000010 0x0002
0x02 0000001|0000001 0x0081
0x03 0000001|0000010 0x0082
0x04 0000010|0000001 0x0101
0x05 0000010|0000010 0x0102
0x06 0010111|0010100 0x0B94
0x07 0010111|0010101 0x0B95
0x08 0100000|0011010 0x101A
BX = 100 Event : 61
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0001011|0000100 0x0584
0x01 0001011|0001000 0x0588
0x02 0001111|0000100 0x0784
0x03 0001111|0001000 0x0788
0x04 0010110|0011100 0x0B1C
0x05 0101110|0100011 0x1723
BX = 111 Event : 64
BX = 000 Event : 65
0x00 0000001|0000000 0x0080
0x01 0000001|0000001 0x0081
0x02 0100010|0000000 0x1100
BX = 001 Event : 66
0x00 0000011|0000111 0x0187
0x01 0000101|0000011 0x0283
0x02 0000101|0000111 0x0287
0x03 0100011|0101110 0x11AE
0x04 0101110|0000011 0x1703
0x05 0101111|0000011 0x1783
BX = 010 Event : 67
0x00 0000110|0000100 0x0304
0x01 0000110|0001000 0x0308
0x02 0001000|0000100 0x0404
0x03 0001000|0001000 0x0408
BX = 011 Event : 68
0x00 0101010|0110001 0x1531
BX = 100 Event : 69
0x00 0001010|0001111 0x050F
0x01 0010000|0001111 0x080F
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0001111|0001010 0x078A
0x01 0100100|0100110 0x1226
BX = 111 Event : 72
0x00 0001001|0001100 0x048C
0x01 0001001|0001110 0x048E
0x02 0001011|0001110 0x058E
0x03 0011001|0011111 0x0C9F
0x04 0011001|0100000 0x0CA0
0x05 0011001|0100010 0x0CA2
0x06 0011010|0011111 0x0D1F
0x07 0011010|0100000 0x0D20
0x08 0011010|0100010 0x0D22
BX = 000 Event : 73
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0000110|0000111 0x0307
0x01 0000110|0001101 0x030D
0x02 0000111|0000111 0x0387
0x03 0000111|0001101 0x038D
0x04 0010000|0011101 0x081D
0x05 0010000|0011110 0x081E
0x06 0010000|0011111 0x081F
0x07 0100010|0111111 0x113F
0x08 0100101|0111111 0x12BF
BX = 011 Event : 76
0x00 0000011|0000000 0x0180
